encode_speed,decode_speed,itt,final_ttft,accept_rate

3.62518,1.72739,0.574488,1.00025,0.701681
6.56163,1.32037,0.755284,1.07221,0.392491
5.55829,1.23942,0.800508,1.69948,0.403727
9.11775,1.14592,0.867853,1.33397,0.636792
11.9402,1.04323,0.949229,1.61982,0.563319
10.734,0.970321,1.07325,1.0424,0.162162
10.8068,0.926765,1.12563,1.03643,0.15
10.81,0.721329,1.44671,1.35635,0.24
10.9396,0.913955,1.14312,1.02198,0.162162
11.9147,1.20559,0.842244,1.04583,0.24
10.1599,0.642773,1.67141,1.20538
11.1324,1.105,0.920954,1.01472,0.206897
10.8543,0.782403,1.34089,1.03173,0.222222
11.2434,0.902682,1.14786,0.979517,0.285714
13.2682,1.37631,0.688357,1.13447,0.5
13.3968,1.13623,0.894553,1.01869,0.285714
13.4303,0.974642,1.06711,1.03602,0.142857
11.6162,0.872374,1.20969,1.02978,0.212121
12.3506,1.30449,0.753233,1.05565,0.333333
12.5406,1.23137,0.808256,1.06956,0.333333
12.5672,1.33909,0.748037,1.02124,0.346154
11.3726,0.840865,1.26071,1.05065,0.05
15.0591,0.982933,1.05656,1.02075,0.1
12.5785,1.02438,0.948785,1.02024,0.210526
13.7626,1.02548,0.947269,1.02497,0.210526
13.8188,0.955639,1.04062,1.01349,0.135135
14.1401,0.903427,1.11149,1.02958,0.142857
14.7242,1.26118,0.790008,1.03609,0.5
13.2923,1.20406,0.758533,1.04862,0.344828
13.9708,1.02714,1.01951,1.01814,0.1875
12.3551,1.13472,0.833278,1.01829,0.294118
13.2078,1.0227,0.96,1.04228,0.189189
13.6338,1.04047,0.832145,1.9918,0.294118
13.2285,1.02437,0.945826,1.03147,0.222222
12.0076,1.10395,0.875728,1.24391,0.588235
11.2168,1.18194,0.844313,1.08812,0.3125
9.58678,1.02574,0.918014,1.84298,0.4
16.3613,1.12577,0.880621,1.07247,0.5
14.1215,1.33239,0.728893,1.00326,0.428571
11.8339,1.56505,0.601488,1.01776,0.56
8.71865,1.0013,1.00379,1.31366,0.6
11.6391,1.29649,0.756236,1.08005,0.354839
15.146,1.33519,0.723814,1.02178,0.375
11.9107,1.42419,0.617142,1.00375,0.5
13.7699,1.84907,0.47332,0.999521,0.823529
14.4512,1.08349,0.939272,1.03221,0.205882
9.87695,1.22674,0.759874,1.02117,0.242424
13.9957,1.05435,0.972798,1.00158,0.30303
11.5704,1.09215,0.833938,1.4785,0.5
9.97366,1.03952,0.930317,0.993921,0.194444
12.5149,1.69969,0.545884,1.00379,0.714286
13.5598,0.632851,1.68992,1.31535,0.181818
10.7497,0.803317,1.27088,1.45302,0.4
10.3112,0.991332,0.994531,1.36328,0.45
9.93255,1.02514,0.855058,2.28676,0.75
10.8661,1.46354,0.656841,1.03681,0.5
16.135,1.07203,0.949641,1.03552,0.212121
11.3571,1.22009,0.806339,1.04642,0.321429
12.384,1.09753,0.934688,1.01975,0.21875
10.2425,1.34749,0.734554,0.977555,0.354839
12.3906,1.06603,0.958178,1.04729,0.216216
11.647,1.11384,0.916561,1.00431,0.178571
9.003,0.660303,1.54059,1.5765,0.125
15.6359,1.31099,0.735203,1.06411,0.375
15.873,1.00028,0.939477,1.56735,0.52381
16.6501,1.29302,0.755667,1.01421,0.428571
15.9419,0.82324,1.23609,1.07614,0.0444444
15.9458,1.27893,0.728851,1.09068,0.44
16.0989,0.976718,0.950737,1.93111,0.21875
10.6745,0.844073,1.12354,2.44495,0.272727
13.1576,0.972451,1.06515,1.0433,0.15
13.4567,1.10041,0.923263,1.04245,0.34375
10.7527,1.01353,0.977524,1.388,0.5
14.0155,1.3208,0.681673,1.01627,0.48
11.978,1.30881,0.605313,1.83831,0.458333
13.6181,0.893952,1.1931,1.03296,0.1
13.4029,1.16422,0.869847,1.02329,0.285714
11.0754,0.823643,1.17011,1.22783,0.3
10.4186,1.42537,0.658441,1.04532,0.44
13.194,0.925245,1.08086,1.011,0.15
8.83707,1.21113,0.816318,1.05386,0.344828
10.1331,0.842035,1.08891,2.09715,0.097561
14.301,1.15705,0.781676,1.53564,0.6875
10.3213,1.04209,0.946199,1.20606,0.36
10.3297,0.827415,1.25917,1.35641,0.269231
10.2565,0.773115,1.39341,0.987208,0.212121
9.96143,1.58083,0.583098,1.02936,0.55
9.46345,1.37157,0.71199,0.959504,0.354839
11.5819,1.50787,0.616804,1.1077,0.538462
